item_id,name,description,category,price,address
0x87189e66c2c4b315:0x159b1017daeaac02,County Line Barbeque of Albuquerque,"Large portions of barbeque meats, plus live music, are featured in a homey-meets-quirky setting.","['Barbecue restaurant', 'Banquet hall', 'Restaurant']",$$,"County Line Barbeque of Albuquerque, 9600 Tramway Blvd NE, Albuquerque, NM 87122, United States"
0x87189fdb1bf87b03:0x342862b9e6e88b4f,Horse & Angel Tavern,"Pub grub & beer served in a laid-back spot with sports on TV, pool & a sidewalk patio.","['Bar & grill', 'Bar', 'Restaurant', 'Sports bar']",$$,"Horse & Angel Tavern, 5809 Juan Tabo Blvd NE #1st, Albuquerque, NM 87111, United States"
0x87220b227ec8dcc7:0x2cd032cb661da0aa,Los Cuates,"Local restaurant & bar chain serving classic Mexican dishes & burgers in a relaxed, stylish space.","['Mexican restaurant', 'Latin American restaurant', 'Spanish restaurant']",$$,"Los Cuates, 4901 Lomas Blvd NE, Albuquerque, NM 87112, United States"
0x872274add22028eb:0x5a61c59bd11e11e9,Twisters Burgers and Burritos,Regional fast-food chain serving up an all-day menu of chile-infused burritos & burgers.,"['Burrito restaurant', 'Breakfast restaurant', 'Fast food restaurant', 'Latin American restaurant', 'Mexican restaurant']",$,"Twisters Burgers and Burritos, 2103 Menaul Blvd NE, Albuquerque, NM 87107"
0x872274d4f79d168f:0x175fdb7f6207efc9,Big 5 Sporting Goods - Albuquerque,"Chain retailer providing a full range of sporting & outdoor equipment, shoes & apparel.","['Sporting goods store', 'Camping store', 'Clothing store', 'Outdoor sports store', 'Running store', 'Shoe store', 'Sportswear store']",,"Big 5 Sporting Goods - Albuquerque, 2720 San Mateo Blvd NE, Albuquerque, NM 87110, United States"
0x8722717ccf1011ab:0x8b425bec735c4a8f,Twisters Burgers and Burritos,Regional fast-food chain serving up an all-day menu of chile-infused burritos & burgers.,"['Fast food restaurant', 'Breakfast restaurant', 'Burrito restaurant', 'Diner', 'Hamburger restaurant', 'Mexican restaurant', 'Restaurant']",₩,"Twisters Burgers and Burritos, 9358 Eagle Ranch Rd NW, Albuquerque, NM 87114, United States"
0x872274fb8af34e6d:0x2b8cf0c4a8525dae,Delicias Café,Familiar Mexican eats such as tacos & fajitas plus breakfast are offered by this casual restaurant.,['Mexican restaurant'],₩₩,"Delicias Café, 6001 San Mateo Blvd NE, Albuquerque, NM 87109, United States"
0x872275446c6e5e79:0xc22a545a4a1311ff,Party City,"Retail chain stocking a wide range of themed party supplies, plus costumes & holiday decorations.","['Party store', 'Candy store', 'Costume store']",₩₩,"Party City, 4410 Wyoming Blvd NE, Albuquerque, NM 87111, United States"
0x8722756fd84d3367:0x986b28503ceeb0b5,PetSmart,"Chain featuring a range of pets, supplies & food (most offer grooming, boarding & other services).","['Pet supply store', 'Pet adoption service', 'Pet groomer', 'Pet trainer']",,"PetSmart, 8070 Academy Rd NE, Albuquerque, NM 87111, United States"
0x8718a070b5368f57:0xad44e42f43d40823,Petco,"Chain with pet food & supplies, such as toys, beds & apparel (many offer pet services & adoptions).","['Pet supply store', 'Bird shop', 'Fish store', 'Pet store', 'Reptile store', 'Tropical fish store']",₩₩,"Petco, 10700 Lomas Blvd NE, Albuquerque, NM 87112, United States"
0x87220ad288857a3b:0xd5429b9ec37337ef,Panera Bread,"Counter-serve bakery/cafe chain serving sandwiches, salads & more, known for its bread & free WiFi.","['Cafe', 'Bakery', 'Breakfast restaurant', 'Caterer', 'Coffee shop', 'Delivery service', 'Takeout restaurant', 'Salad shop', 'Sandwich shop', 'Soup restaurant']",₩₩,"Panera Bread, 6600 Menaul Blvd NE Suite 1000, Albuquerque, NM 87110, United States"
0x87189fed780a56e7:0x5e9cc965182768c4,Il Vicino Wood Oven Pizza - Albuquerque Heights,"Lively, laid-back eatery doling out traditional pizzas, pastas & salads, plus beer & wine.","['Pizza restaurant', 'Italian restaurant', 'Pizza takeaway']",₩₩,"Il Vicino Wood Oven Pizza - Albuquerque Heights, 11225 Montgomery Blvd NE, Albuquerque, NM 87111, United States"
0x872274efda7f0051:0x30146b7f3460f963,Outback Steakhouse,"Boisterous Australian-themed chain serving steaks, seafood & other hearty steakhouse fare.","['Steak house', 'American restaurant', 'Australian restaurant', 'Bar', 'Bar & grill', 'Gluten-free restaurant', 'Takeout restaurant', 'Restaurant']",₩₩,"Outback Steakhouse, 4921 Jefferson St NE, Albuquerque, NM 87109, United States"
0x87227146c8a62d05:0x42b2c10f927404e3,Flying Star Cafe,"Relaxed cafe chain serving globally influenced American fare, including all-day breakfast.","['Cafe', 'American restaurant', 'Bakery', 'Breakfast restaurant', 'Hamburger restaurant', 'Internet cafe', 'Lunch restaurant', 'Wi-Fi spot']",₩₩,"Flying Star Cafe, 10700 Corrales Rd A, Albuquerque, NM 87114, United States"
0x87227187e083ab27:0xb8f1c660cfcb9036,Blake's Lotaburger,Iconic New Mexico-based chain famed for green chile cheeseburgers & other fast-food classics.,"['Hamburger restaurant', 'American restaurant', 'Breakfast restaurant', 'Burrito restaurant', 'Fast food restaurant', 'Lunch restaurant']",₩,"Blake's Lotaburger, 8641 Golf Course Rd NW, Albuquerque, NM 87114, United States"
0x87220acda18a875f:0x363bc38ec0963290,Chipotle Mexican Grill,"Fast-food chain offering Mexican fare, including design-your-own burritos, tacos & bowls.","['Mexican restaurant', 'Caterer', 'Fast food restaurant']",₩,"Chipotle Mexican Grill, 6810 Menaul Blvd NE, Albuquerque, NM 87110, United States"
0x872274ff688859d5:0x8907d6ed1633ef98,Starbucks,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.","['Coffee shop', 'Breakfast restaurant', 'Cafe', 'Coffee store', 'Espresso bar', 'Internet cafe']",₩₩,"Starbucks, 6828 San Mateo Blvd NE, Albuquerque, NM 87109, United States"
0x8722757259427757:0x9b4fb38fe2794dd7,Starbucks,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.","['Coffee shop', 'Breakfast restaurant', 'Cafe', 'Coffee store', 'Espresso bar', 'Internet cafe']",₩₩,"Starbucks, 5901 Wyoming Blvd NE P5, Albuquerque, NM 87109, United States"
0x87227142e2e5da99:0x17ec62ccd01e8a6c,Hong Kong Buffet,"A pagoda-like facade hosts a simple dining room serving Chinese favorites, sushi & other Asian eats.",['Chinese restaurant'],₩₩,"Hong Kong Buffet, 10100 Coors Blvd NW, Albuquerque, NM 87114, United States"
0x872274d2d7e8e0d5:0x1a00e1615d13b3ce,Schlotzsky's,"Counter-serve chain serving deli fare, such as their Original sandwich, specialty pizzas & salads.","['Sandwich shop', 'Bakery', 'Deli', 'Dessert shop', 'Family restaurant', 'Fast food restaurant', 'Pizza restaurant', 'Restaurant', 'Soup restaurant']",₩,"Schlotzsky's, 4717 Menaul Blvd NE, Albuquerque, NM 87110, United States"
0x8722716c42414471:0xebd8bcbf2b5aed70,Harbor Freight Tools,"Retail chain carrying a wide range of tools, hardware & other products for the home, garden & car.",['Hardware store'],₩,"Harbor Freight Tools, 10131 Coors Blvd NW g3, Albuquerque, NM 87114, United States"
0x87220ab1102b164d:0x431885b9efcfaa19,Black Angus Steakhouse,"Chain offers beef, seafood & surf 'n' turf combos plus traditional sides amid Western-themed decor.","['Steak house', 'American restaurant', 'Restaurant', 'Seafood restaurant']",₩₩,"Black Angus Steakhouse, 2290 Wyoming Blvd NE, Albuquerque, NM 87112, United States"
0x87220d2a464cfdc5:0x90b973bbc497c11c,ABQ BioPark Aquarium,Spacious aquarium featuring tanks with hundreds of fish plus a theater showing educational films.,"['Aquarium', 'Tourist attraction']",,"ABQ BioPark Aquarium, 2601 Central Ave NW, Albuquerque, NM 87104, United States"
0x87183f6c1fa8f349:0xe0d68faec57c2eac,Santa Fe National Forest,This 1.6-million-acre forest with many miles of trails offers activities such as hunting & fishing.,"['National forest', 'National park', 'Tourist attraction']",,"Santa Fe National Forest, Los Alamos, NM 87544, United States"
0x872274fb70a8baaf:0xc4cfbb8511b54c1,Cliff's Amusement Park,"Amusement park with seasonal hours featuring rides, roller coasters, games, a water park & more.","['Amusement park', 'Tourist attraction', 'Water park']",,"Cliff's Amusement Park, 4800 Osuna Rd NE, Albuquerque, NM 87109, United States"
0x8718a0819d2853f9:0x85b5f29d3bdc3256,The Home Depot,"Chain home improvement retailer for tools, appliances & other products (some offer truck rentals).","['Home improvement store', 'Appliance store', 'Bathroom supply store', 'Cabinet store', 'Hardware store', 'Lighting store', 'Paint store', 'Rug store', 'Tool store', 'Window treatment store']",₩,"The Home Depot, 200 Eubank Blvd SE, Albuquerque, NM 87123, United States"
0x87220c829e0184b1:0xf18c8205e14928e9,Isotopes Park,"Outdoor baseball stadium with over 13,000 seats features concession stands & kid-friendly areas.","['Stadium', 'Baseball field']",,"Isotopes Park, 1601 Avenida Cesar Chavez SE, Albuquerque, NM 87106, United States"
0x87220b03a28dfe7b:0x4b7d993413f7ee1a,Frank's Famous Chicken & Waffles,"Easygoing, no-nonsense outpost specializing in fried chicken & waffles, plus hearty sides.","['Chicken restaurant', 'Soul food restaurant']",₩,"Frank's Famous Chicken & Waffles, 400 Washington St SE, Albuquerque, NM 87108, United States"
0x872274caae0b851f:0xa925d5f1b99ae1f1,"Rudy's ""Country Store"" and Bar-B-Q","Brisket, ribs & sides served up cafeteria-style in a no-frills setting with indoor picnic tables.",['Barbecue restaurant'],₩₩,"Rudy's ""Country Store"" and Bar-B-Q, 2321 Carlisle Blvd NE, Albuquerque, NM 87110, United States"
0x87220b105e968263:0x1bf023b6d35e0029,O'Niell's,"Irish stalwart featuring a long bar-food menu, quiz nights, low-key live music & an outdoor patio.","['Irish restaurant', 'Bar', 'Pub', 'Restaurant']",₩₩,"O'Niell's, 4310 Central Ave SE, Albuquerque, NM 87108, United States"
0x87227379e474f1c3:0x54594ce5c7466625,Mario's Pizzeria & Ristorante 4th and Montaño,"Local Italian chain serving pizza, pasta, burgers & sandwiches in a relaxed setting.","['Italian restaurant', 'Dessert restaurant', 'Takeout restaurant', 'Pasta shop', 'Pizza restaurant', 'Salad shop', 'Sandwich shop']",₩₩,"Mario's Pizzeria & Ristorante 4th and Montaño, 5700 4th St NW, Albuquerque, NM 87107, United States"
0x86e06303071072f3:0x36d1188767bf20c3,White Sands National Park,Scenic park featuring a striking landscape filled with extremely rare gypsum sand dunes.,"['National park', 'Tourist attraction']",,"White Sands National Park, New Mexico, United States"
0x8722745a1c3167ab:0xeae4f5fe5d4cc454,Whataburger,"Circa-1950 fast-food chain for counter-serve burgers, some stacked with multiple patties.","['Restaurant', 'Breakfast restaurant', 'Chicken restaurant', 'Fast food restaurant', 'Hamburger restaurant', 'Takeout restaurant']",₩,"Whataburger, 4201 Osuna Rd NE, Albuquerque, NM 87109, United States"
0x87227040700e6757:0xfd8e11ca10218e0e,Starbucks,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.","['Coffee shop', 'Breakfast restaurant', 'Cafe', 'Coffee store', 'Espresso bar', 'Internet cafe']",$$,"Starbucks, 1810 Southern Blvd SE, Rio Rancho, NM 87124"
0x87220df230855557:0x88462daa92bc7d71,Starbucks,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.","['Coffee shop', 'Breakfast restaurant', 'Cafe', 'Coffee store', 'Espresso bar', 'Internet cafe']",$$,"Starbucks, 3721 Las Estancias Ct SW, Albuquerque, NM 87121"
0x87220cd485519dcb:0x1fc8f68e60ade03a,Old Town Pizza Parlor,"Family-friendly pizzeria in an old hacienda also features hot & cold sandwiches, salads & soups.","['Pizza restaurant', 'Caterer']",$,"Old Town Pizza Parlor, 108 Rio Grande Blvd NW, Albuquerque, NM 87104"
0x8722718683d555b7:0x5582f83d57ea952,Church's Chicken,"Fast-food chain offering fried chicken, sandwiches, wings & Southern-influenced sides.","['Chicken restaurant', 'Family restaurant', 'Fast food restaurant']",$,"Church's Chicken, 9250 Golf Course Rd NW, Albuquerque, NM 87114"
0x87220af7722c5f63:0xd88b204e7be0e869,Church's Chicken,"Fast-food chain offering fried chicken, sandwiches, wings & Southern-influenced sides.","['Chicken restaurant', 'Family restaurant', 'Fast food restaurant']",$,"Church's Chicken, 401 Louisiana Blvd SE, Albuquerque, NM 87108"
0x87220cc73c96ed5d:0xa8392a3713faf02a,Launchpad,"Intimate venue with a bar, a pool table & a schedule of touring musical acts & local bands.","['Live music venue', 'Event venue', 'Video store']",,"Launchpad, 618 Central Ave SW, Albuquerque, NM 87102"
0x87220ca2d6b65e2f:0xc86f3428cf2f3cf0,The Grove Cafe & Market,"Relaxed American eatery offering organic, locally grown ingredients for breakfast & lunch.","['Brunch restaurant', 'Organic restaurant']",$$,"The Grove Cafe & Market, 600 Central Ave SE STE A, Albuquerque, NM 87102"
0x872274ed8be12b81:0x39a8d4acdf4307ea,Cheddar's Scratch Kitchen,"Family-friendly chain serving American comfort food with a Texas twist, plus cocktails.","['Traditional American restaurant', 'Family restaurant', 'Southern restaurant (US)']",$$,"Cheddar's Scratch Kitchen, 4865 Pan American Fwy NE, Albuquerque, NM 87109"
0x8722754409d14c45:0xf4e790d1be15e565,Taco Cabana,"Colorful chain eatery for classic Mexican fare, including freshly made salsa & tortillas.","['Taco restaurant', 'Mexican restaurant', 'Tex-Mex restaurant']",$,"Taco Cabana, 8330 Montgomery Blvd NE, Albuquerque, NM 87111"
0x872275440c5f1069:0x96da14a07a9319c3,Range Cafe Wyoming,New Mexican dishes & spins on diner classics served all day in eclectic digs with whimsical art.,"['Cafe', 'Restaurant']",$$,"Range Cafe Wyoming, 4401 Wyoming Blvd NE, Albuquerque, NM 87111"
0x87220af0cad83f1b:0xcf2740b498609b24,Coda Bakery,"Elevated Vietnamese sandwiches, noodle bowls, spring rolls & pastries in a simple cafe space.",['Bakery'],$,"Coda Bakery, 230 Louisiana Blvd SE C, Albuquerque, NM 87108"
0x87189fdb3d6a135d:0xdfe2149d66ff8043,Cinnamon Cafe,Biscuits & breakfast burritos dished up in a comfy place also offering cooking instruction.,"['Breakfast restaurant', 'Lunch restaurant']",$$,"Cinnamon Cafe, 5809 Juan Tabo Blvd NE UNIT A, Albuquerque, NM 87111"
0x87189fe305fa80a9:0xa30105e2c769033,Whole Hog Café,"Outpost of a local BBQ chain dishing out ribs, brisket & other standards in a laid-back atmosphere.","['Barbecue restaurant', 'BBQ area', 'Cafe', 'Catering food and drink supplier', 'Caterer', 'Delivery service', 'Takeout Restaurant', 'Restaurant']",$$,"Whole Hog Café, 3589, 9880 Montgomery Blvd NE #1, Albuquerque, NM 87111"
0x87189e8cfbdf7855:0xdee0b10202a6352b,Sandia Peak Tramway,"2.7-mi. aerial tram ride, with Albuquerque & mountain views, to a peak with trails, skiing & dining.",['Tourist attraction'],,"Sandia Peak Tramway, 30 Tramway Rd NE, Albuquerque, NM 87122"
0x87219a88f063bb53:0x9b3a6d62cb0799e9,Cibola National Forest,"1.6 million acres of trees, meadows & mountains, with campgrounds, climbing areas & scenic trails.","['National forest', 'Nature preserve', 'Tourist attraction']",,"Cibola National Forest, Albuquerque, NM 87113"
0x87220ad2884cf767:0x11cdc37bd623febd,Barnes & Noble,"Bookseller chain stocking housebrand eReader, plus a broad selection of titles for adults & kids.","['Book store', 'Cafe', 'Childrens book store', 'Hobby store', 'Toy store']",$$,"Barnes & Noble, 6600 Menaul Blvd NE, Albuquerque, NM 87110"
0x87227453bdd39b01:0xe38e40415f3ce24b,Cracker Barrel Old Country Store,"Homey chain restaurant serving American comfort food, with an on-site general store.","['American restaurant', 'Gift shop', 'Hobby store', 'Restaurant', 'Southern restaurant (US)']",$$,"Cracker Barrel Old Country Store, 5200 San Antonio Dr NE, Albuquerque, NM 87109"
0x872276bb94ce1dad:0x1e49adfb92e72f85,El Pinto Restaurant,"Green chile, sopaipillas, carne adovada & more in an old hacienda surrounded by lush gardens.","['Mexican restaurant', 'Bar', 'Restaurant']",$$,"El Pinto Restaurant, 10500 4th St NW, Albuquerque, NM 87114"
0x87220b2b8a1faeb5:0x9c52af5c7efb738b,Denny's,"Casual diner chain dishing up classic American comfort fare, including all-day breakfast favorites.","['Diner', 'American restaurant', 'Breakfast restaurant']",$,"Denny's, 2400 San Mateo Blvd NE, Albuquerque, NM 87110"
0x8718a01a12690e09:0xf4b6a7924c62caf1,Harbor Freight Tools,"Retail chain carrying a wide range of tools, hardware & other products for the home, garden & car.",['Hardware store'],$,"Harbor Freight Tools, 11035 Menaul Blvd NE, Albuquerque, NM 87112"
0x87220acd9b6422cb:0x808cbcd005cd489e,Five Guys,"Fast-food chain with made-to-order burgers, fries & hot dogs, plus free peanuts while you wait.","['Hamburger restaurant', 'American restaurant', 'Fast food restaurant', 'Hot dog restaurant', 'Hot dog stand', 'Restaurant']",$$,"Five Guys, 6600 Menaul Blvd NE, Albuquerque, NM 87110"
0x87189ff415fc4a03:0x62d3f573c8982e61,Garcia's Kitchen,Long-running local chain serving all-day breakfast & New Mexican favorites in a casual space.,['Mexican restaurant'],$,"Garcia's Kitchen, 3601 Juan Tabo Blvd NE, Albuquerque, NM 87111"
0x87220baa5ff2418b:0x41863665f80be32e,Dairy Queen,Soft-serve ice cream & signature shakes top the menu at this classic burger & fries fast-food chain.,"['Fast food restaurant', 'Ice cream shop']",$,"Dairy Queen, 5500 Kathryn Ave SE, Albuquerque, NM 87108"
0x8718a0141e136029:0x8eb61f0db6565ea4,Big 5 Sporting Goods - Albuquerque (Juan Tabo),"Chain retailer providing a full range of sporting & outdoor equipment, shoes & apparel.","['Sporting goods store', 'Camping store', 'Clothing store', 'Outdoor sports store', 'Running store', 'Shoe store', 'Sportswear store']",,"Big 5 Sporting Goods - Albuquerque (Juan Tabo), 1915 Juan Tabo Blvd NE, Albuquerque, NM 87112"
0x872272fb9f976ba3:0xfbb3b856575dcf74,Rio Grande Nature Center State Park,"Riverside area on 270 acres with trails, bird-watching, native plants, self-guided exhibits & store.","['Park', 'Tourist attraction']",,"Rio Grande Nature Center State Park, 2901 Candelaria Rd NW, Albuquerque, NM 87107"
0x8718a0664c5c7045:0x5b7af8a6826d4bac,Village Inn,Family-friendly chain serving homestyle American classics such as chicken-fried steak & pot pie.,"['Breakfast restaurant', 'Bakery', 'Brunch restaurant', 'Diner', 'Family restaurant', 'Pie shop', 'Restaurant']",$,"Village Inn, 840 Juan Tabo Blvd NE, Albuquerque, NM 87123"
0x87220b3d7a0e14f3:0x431ab5045ebddfa3,Hurricane's Cafe,Mexican fare & American diner classics served in a 1950s setting with drive-in & eat-in service.,"['Diner', 'Cafe', 'Mexican restaurant']",$,"Hurricane's Cafe, 4330 Lomas Blvd NE, Albuquerque, NM 87110, United States"
0x8718a061a1018fb5:0x94dae791aeec88ce,China King,"Low-key, brightly lit outlet serving an array of Chinese & Asian buffet standards in unfussy digs.",['Chinese restaurant'],$,"China King, 601 Juan Tabo Blvd NE # B1, Albuquerque, NM 87123"
0x8718a0691be058bd:0x4d1ab37215055586,Weck's,Local chain serving hearty American breakfast & lunch fare in a casual setting with a retro vibe.,"['Brunch restaurant', 'Breakfast restaurant']",$$,"Weck's, 730 Juan Tabo Blvd NE, Albuquerque, NM 87123"
0x8718a019e6a54551:0x6aa8bbda704ddfe8,Denny's,"Casual diner chain dishing up classic American comfort fare, including all-day breakfast favorites.","['Diner', 'American restaurant', 'Breakfast restaurant']",$,"Denny's, 11261 Menaul Blvd NE, Albuquerque, NM 87112"
0x8718a075b9879811:0x30571b8092af58d8,La Salita Restaurant,Family-friendly eatery serving traditional New Mexican favorites such as chiles rellenos since 1978.,['Mexican restaurant'],$$,"La Salita Restaurant, 1950 Juan Tabo Blvd NE Suite H, Albuquerque, NM 87112"
0x87220ab178133c3f:0xfd90130a32eb6168,Village Inn,Family-friendly chain serving homestyle American classics such as chicken-fried steak & pot pie.,"['Breakfast restaurant', 'Bakery', 'Brunch restaurant', 'Diner', 'Family restaurant', 'Pie shop', 'Restaurant']",$,"Village Inn, 2282 Wyoming Blvd NE, Albuquerque, NM 87112"
0x8718a07f2d47684f:0x6bb88bebae210ae0,Twisters Burgers and Burritos,Regional fast-food chain serving up an all-day menu of chile-infused burritos & burgers.,"['Burrito restaurant', 'Breakfast restaurant', 'Fast food restaurant', 'Hamburger restaurant', 'Latin American restaurant', 'Restaurant']",$,"Twisters Burgers and Burritos, 425 Eubank Blvd NE, Albuquerque, NM 87123"
0x87220abdaec65781:0xc7dee92234862164,Dickey's Barbecue Pit,"BBQ chain eatery featuring house-smoked meats, stuffed baked potatoes & classic sides.","['Barbecue restaurant', 'Box lunch supplier', 'Catering food and drink supplier', 'Caterer', 'Chicken wings restaurant', 'Family restaurant', 'Delivery Restaurant', 'Restaurant']",$$,"Dickey's Barbecue Pit, 1410 Wyoming Blvd NE Ste C & D, Albuquerque, NM 87112"
0x8718a07518d12b27:0x9b88cd5b3bcba8b9,Carl's Jr. #7331,"Fast-food chain known for its variety of piled-high burgers & meal combos, plus shakes.","['Fast food restaurant', 'Restaurant']",$,"Carl's Jr. #7331, 1312 Eubank Blvd NE, Albuquerque, NM 87112"
0x87220bad03fcee5b:0x95c4be90b95b5e3a,Sonic Drive-In,"Fast-food burger & fries joint with an old-school feel, including retro drive-in service.","['Fast food restaurant', 'Chicken restaurant', 'Hamburger restaurant', 'Ice cream shop', 'Restaurant']",$,"Sonic Drive-In, 5121 Gibson Blvd SE, Albuquerque, NM 87108"
0x87220b1f40cacc25:0x8a2af0c06ca06de9,Weck's,Local chain serving hearty American breakfast & lunch fare in a casual setting with a retro vibe.,"['Restaurant', 'American restaurant', 'Breakfast restaurant', 'Brunch restaurant']",$$,"Weck's, 933 San Mateo Blvd NE #100th, Albuquerque, NM 87108"
0x8718a00a56a0e879:0x9ae52d031781c0f,J. Gumbo's,"Counter-service chain outpost dispensing gumbo, jambalaya, po' boys & other Cajun-Creole fare.","['Cajun restaurant', 'Caterer', 'Creole restaurant', 'Health food store', 'Soup shop']",$,"J. Gumbo's, 1608 Eubank Blvd NE, Albuquerque, NM 87112"
0x8718a0e561699ce1:0xb6ca44d9adc8c096,Sprouts Farmers Market,Specialty chain offering a range of natural & organic grocery items (most carry beer & wine).,"['Grocery store', ""Farmers' market"", 'Fresh food market', 'Fruit and vegetable store', 'Health food store', 'Natural goods store', 'Organic food store', 'Produce market', 'Supermarket', 'Vitamin & supplements store']",,"Sprouts Farmers Market, 13150 Central Ave SE, Albuquerque, NM 87123"
0x872278650e25c41b:0x6b52ea0ba57b566f,Blake's Lotaburger,Iconic New Mexico-based chain famed for green chile cheeseburgers & other fast-food classics.,"['Hamburger restaurant', 'American restaurant', 'Breakfast restaurant', 'Burrito restaurant', 'Fast food restaurant', 'Lunch restaurant']",$,"Blake's Lotaburger, 1304 Warrior Way, Santa Ana Pueblo, NM 87004"
0x8722716a7be35b6d:0x30c0b3b1f45a6738,Cost Plus World Market,"Retail chain featuring an eclectic array of imported housewares, furniture, decor & specialty foods.","['Furniture store', 'Glassware store', 'Kitchen supply store', 'Lighting store', 'Linens store', 'Outdoor furniture store', 'Rug store', 'Window treatment store']",$$,"Cost Plus World Market, 3601 Old Airport Ave NW Suite B, Albuquerque, NM 87114"
0x8722714151dbebad:0xd57fcc5b894be435,Il Vicino Wood Oven Pizza - West Side Albuquerque,"Lively, laid-back eatery doling out traditional pizzas, pastas & salads, plus beer & wine.","['Pizza restaurant', 'Italian restaurant', 'Pizza Takeout']",$$,"Il Vicino Wood Oven Pizza - West Side Albuquerque, 10701 Corrales Rd, Albuquerque, NM 87114"
0x872275b58913587d:0xb59517a26e28fbdb,Starbucks,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.","['Coffee shop', 'Breakfast restaurant', 'Cafe', 'Coffee store', 'Espresso bar', 'Internet cafe']",$$,"Starbucks, 8101 San Pedro Dr NE, Albuquerque, NM 87113"
